,caption
91,the appearance is similar to the astonished face but with open eyes instead of x eyes
92,flushed face
93,generally used when a mistake or unfavorable situation has arisen – aka eek
94,a yellow face with a slight partially open smile and its left eye winking right on whatsapp
95,a face displayed wearing a widebrimmed cowboy hat
96,face with a sad mouth and worriedlooking eyebrows
97,neutral face
98,a face with wide open eyes and raised eyebrows
99,can be paired with a thoughtballoon or a light bulb to indicate an idea and is sometimes used to question the intelligence of a written statement aka throwing shade at a person or concept
100,thinking face
101,used as an expression of love for example  i love you or i love this
102,not to be confused with sleeping face emoji this sleepyface emoji features a snot bubble coming out of the nose
103,a frowning face with an unhappy mouth curving downward
104,the apple artwork for this emoji looks like a person yawning
105,a face asking for quiet or silence by raising its index finger over its mouth as if to say shhh or shush
106,this is not a face of sadness it is more of a grumpy displeased look
107,a sterotypically nerdlike face with glasses and buck teeth
108,a face with a long nose used to indicate the telling of a lie
109,also seen in public places primarily in asia to avoid sickness or spreading disease
110,this face is distraught and inconsolable
111,used in an attempt to be wacky zany or otherwise joking
112,a face with air coming out of its nose in a proud yet disdainful way
113,slightly frowning face
114,may be metaphorically to emphasise disgust at a person or situation or in a literal sense
115,this emoji has eyes and no mouth
116,kissing face with smiling eyes
117,face with raised eyebrow
118,a sly smile often used with a sexual or smug connotation
119,used to show helplessness in a situation
120,a face with smiling eyes and a broad open smile showing upper teeth and tongue on some platforms
121,a face with grawlixes symbols such as 
122,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
123,face without mouth
124,nerd face
125,a grimace emoji showing bared teeth
126,not to be confused with the sad loudly crying face
127,this emoji is kissing but also looks like a whistling emoji or blowing air
128,face with scrunched up and closed eyes frowning
129,or close call
130,quietly considering where things all went wrong
131,appears to be shocked by a scary event
132,astonished face
133,a cheeky face sticking its tongue out in jest
134,beaming face with smiling eyes
135,generally used instead of the sleepy face emoji to indicate both sleeping and sleepiness
136,an emoji form of the  emoticon
137,may be used as a form of passiveaggression or to convey the notion that this is fine when things are in fact not fine
138,on the verge of tears this emoji has tightly closed eyes and a quivering mouth
139,exploding head
140,grinning face
141,sometimes used as an ambiguous emotion such as joking or sarcasm
142,a screaming face with two hands holding the jaw and cheeks in fear
143,can also be used for mock shock as it is less specific than the fearful face used for genuine shock
144,kissing face with closed eyes
145,not to be confused with the unamused face which has similar eyes but a displeased mouth
146,pleasantly content
147,indicates a love of money or a feeling of wealth
148,a face featuring a straightandclosed mouth not giving away any particular emotion
149,slightly smiling face
150,a face showing a bandage wrapped around the head
151,displays on snapchat next to contacts who message one another often but who aren’t 1 best friends
152,used to express dissatisfaction
153,winking face with tongue
154,pensive face
155,a face with a zipper displayed instead of a mouth
156,conveys general pleasure and good cheer or humor
157,wide eyes are shown with an open mouth
158,may also be used in the context of the phrase zip it telling a person to stop talking or making noise
159,fearful face
160,a heart is shown leaving the kissing mouth
161,often used as excited jazz hands due to the similarity of appearance to this gesture on a number of platforms
162,relieved face
163,crying face
164,face with headbandage
165,a face with a sad or neutral mouth with a single drop of sweat
166,nauseated face
167,saddened by life
168,used to indicate a silly happiness
169,a face shown with a thermometer presumed to be feeling sick
170,grinning face with sweat
171,face with hand over mouth
172,represents silence as this emoji is always silent
173,shushing face
174,intended to depict nerves or discomfort but commonly used as a means of expressing whew
175,face with medical mask
176,this face isn’t sad but is a bit confused and puzzled by the situation
177,a yellow face with a big grin and scrunched eyes forming an x shape titled on its side as if rolling on the floor laughing the internet acronym rofl
178,used literally for sickness or as a display of disgust
179,for the camera
180,that would be implied when a person wipes sweat from their brow in an exaggerated manner
181,appears to have given up
182,zippermouth face
183,angry face
184,squinting face with tongue
185,a smiley shown to be so throwing up green vomit
186,a face that is upsidedown often representing a sense of silliness or goofiness
187,drooling face
188,the nerd face emoji is a similar face but with regular glasses
189,an embarrassed face with flushed red cheeks
190,used to indicate thinking or deep thought
191,anxious face with sweat
192,a face with an explosion taking place in the upper section of the head
193,smirking face
194,some versions of this emoji features a tears running down each cheek
195,smiling face with hearteyes
196,displayed with a furrowed brow on most platforms this emoji is commonly used for mad or angry emotions
197,this face is blushing due to a mistake or other embarrassing situation
198,a yellow face with smiling eyes and a closed smile turning up to rosy cheeks
199,this is used in anime and manga to indicate that a character is sleeping
200,sad but relieved face
201,face with thermometer
202,hushed face
203,grinning squinting face
204,an astonished face with a wide open mouth gasping in shock or surprise
205,worried face
206,face with steam from nose
207,a friendly goofy smile with tongue hanging out the side of the mouth
208,more intimate than the regular kissing face emoji due to the eyes being closed
209,a face shown with a single finger and thumb resting on the chin glancing upward
210,loudly crying face
211,used as a way of stating i’m kidding or generally being jovial and not serious
212,a green face shown with pursed lipsed as though it may be about to vomit
213,used to convey a sudden outburst of anger or frustration
214,a yellow face with simple open eyes and a broad open smile showing upper teeth and tongue on some platforms
215,hugging face
216,an excited face showing stars instead of eyes
217,weary face
218,a face that looks more surprised than hushed it has high eyebrows and an open mouth
219,dizzy face
220,persevering face
221,similar to grinning face but with but with taller more excited eyes
222,an exhaustedlooking face with an open mouth and tightly closed eyes
223,may be used as a request to the lower volume or more commonly to ask for metaphorical silence ie
224,sleeping face
225,a sad face with tears streaming down both cheeks
226,a dizzy face looking sick or confused from being spun around in circles too many times
227,a pensive remorseful face
228,crazy face
229,face with raised eyebrow
230,rolling on the floor laughing
231,an emoji face blowing a kiss usually shown with one eye open and the other eye winking
232,grinning face with smiling eyes
233,shows excitement and expresses hearty laughter
234,to keep a secret
235,shown as a yellow smiley with nonhuman appearance
236,face with open mouth
237,may be used for a patient in hospital or for a common cold
238,similar to grinning face but with eyes that saysqueeorawesome
239,a face smiling and wearing dark sunglasses that is used to denote a sense of cool
240,a face showing a stuckout tongue winking at the same time
241,face with tears of joy
242,used to convey a secret or that one will not discuss a certain matter with others aka my lips are sealed
243,cowboy hat face
244,sneezing face
245,an angry looking face
246,a happy and smiling face with big open mouth showing teeth
247,a face with a neutral mouth and single eyebrow raised
248,face savoring food
249,covering the mouth indicating that the face is swearing
250,may be used as a display of desire in a person object or concept
251,frowning face
252,signals a joke flirtation hidden meaning or general positivity
253,commonly used for representing frustration at a situation or a being in a huff
254,a yellow face with smiling eyes and fulltoothed grin as if saying cheese
255,face with open eyes and open mouth
256,downcast face with sweat
257,pouting face
258,a face with a slight smile and neutral eyes
259,smiling face with smiling eyes
